"Yr","C1_nominal_total","C2_nominal_pre_alvo","C3_nominal_pos_alvo","C4_padronizada_sem_tatica","C5_padronizada_com_tatica","C6_nominal_dirigida"
"1989","0.72403190724283","0.579770420327423",NA,NA,NA,NA
"1990","0.920817601176697","0.737347073158826",NA,NA,NA,NA
"1991","0.420989750308951","0.33710863022546",NA,NA,NA,NA
"1992","2.77424458808301","2.22148352142238",NA,NA,NA,NA
"1993","0.516397872274933","0.413506930385338",NA,NA,NA,NA
"1994","0.477252255968021","0.382160976991295",NA,NA,NA,NA
"1995","0.560923634062302","0.449161049172957",NA,NA,NA,NA
"1996","0.56554187650859","0.452859118743474",NA,NA,NA,NA
"1997","1.05952408998","0.848416652428988",NA,NA,NA,NA
"1998","0.70440379726065","0.564053160548174",NA,NA,NA,NA
"1999","0.546850307371389","0.43789179646548",NA,NA,NA,NA
"2000","0.603323627187232","0.483112953212009",NA,NA,NA,NA
"2001","0.851804662235567","0.682084784000469",NA,NA,NA,NA
"2002","1.17406942189749","0.940139122900266",NA,NA,NA,NA
"2003","1.09658177323984","0.878090688041223",NA,NA,NA,NA
"2004","1.37769385964637","1.10319191751007",NA,NA,NA,NA
"2005","4.15518568624537","3.32727567356367",NA,NA,NA,NA
"2006","4.30807251568091","3.44970019723129",NA,NA,NA,NA
"2007","1.9676593607098","1.5756083167165",NA,NA,NA,NA
"2008","1.53101268017425","1.22596235916098",NA,NA,NA,NA
"2009","0.849354231878906","0.680122595561461",NA,NA,NA,NA
"2010","0.810981338487254","0.649395402038213",NA,NA,NA,NA
"2011","1.25416579351311","1.00427649940779",NA,NA,NA,NA
"2012","1.45321542568438","1.16366600663188",NA,NA,NA,NA
"2014","0.516531776019058","0.413614154154399",NA,NA,NA,NA
"2015","0.389001935455556",NA,"1.02927715002723","0.623866425642353","0.537998123650779","1.61358559434444"
"2016","0.708706238277653",NA,"1.87519667810055","2.30779005560206","2.10878287508547","1.81799864480854"
"2017","0.560427453668442",NA,"1.48285938894712","2.19281249714293","2.22605939504461","1.84521342407624"
"2019","0.765470673977547",NA,"2.02539216885478","1.81046005295024","1.81641878294639","1.54918865246899"
"2020","0.450623191398806",NA,"1.19232351282769","0.864075080653918","0.912011490862897","1.18436768305518"
"2021","0.140966609757573",NA,"0.372989687494377","0.309369003938758","0.373854391553696","0.216173688735538"
"2022","0.134646435911532",NA,"0.356266864467001","0.305931889654213","0.309113056297996","0.414415276604563"
"2023","0.209870461356784",NA,"0.555305387072788","0.519818594886869","0.518071958047481","0.345338956122933"
"2024","0.3070125128758",NA,"0.81233776871942","0.634737955375701","0.617218091879895","0.668797209563936"
"2025","0.112644654483389",NA,"0.298051393489046","0.43113844415297","0.580471834630786","0.344920870219636"
