Amostragem;Ano;Mes;Grupo;Familia;Genero;Nome_cientifico;Especie;Engenho;Nome_engenho;Quantidade;Preco;Valor;Data_amostragem;Tipo_pesca;Regiao;Ilha;Nome_ilha;Concelho;Nome_concelho;Localidade;Nome_localidade;Tipo_embarcacao;Embarcacao;Nome_embarcacao;Porto_armamento;Nome_porto_armamento;Porto_desembarque;Nome_porto_desembarque;Numero_pescadores;Data_partida;Hora_partida;Data_chegada;Num_dias;Hora_chegada;Num_horas;Banco_pesca;Nome_banco_pesca;Profundidade_pesca_engenho1
;;;;;;;;;;;;;7/16/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;19;DJETA                               ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;12;7/16/2015;06:20:00;7/16/2015;1;08:50:00;2;1781;FORMIGUINHA                         ;0
;;;;;;;;;;;;;7/16/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;12;7/16/2015;06:30:00;7/16/2015;1;08:00:00;1;1781;FORMIGUINHA                         ;0
;;;;;;;;;;;;;1/5/2015;INDUSTRIAL          ;B;4;SAL                                 ;8;SAL                                 ;19;PALMEIRA                            ;I;21;MESTRE PIMENTEL                     ;222;PALMEIRA                            ;222;PALMEIRA                            ;8;1/5/2015;06:00:00;1/5/2015;1;10:18:00;4;1824;RASO                                ;16
;;;;;;;;;;;;;12/8/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;4;PORTO NOVO                          ;7;PORTO NOVO                          ;I;16;DJESONE                             ;264;PORTO NOVO                          ;264;PORTO NOVO                          ;15;12/7/2015;17:00:00;12/8/2015;1;05:00:00;12;1733;BAIA PORTO NOVO                     ;0
;;;;;;;;;;;;;6/9/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;13;SANTA CRUZ                          ;54;PEDRA BADEJO                        ;I;3100;SANTO ANTONIO                       ;241;PEDRA BADEJO                        ;241;PEDRA BADEJO                        ;10;6/9/2016;7 :  :00;6/9/2016;1;08:30:00;1;1615;ACHADA PONTA                        ;30
;;;;;;;;;;;;;12/13/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;51;CALHETA                             ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;6;12/9/2016;14:30:00;12/13/2016;4;2 :  :00;83;1910;TCHADONA, MAIO                      ;66
;;;;;;;;;;;;;12/8/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;46;MAR LINDA                           ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;17;12/1/2016;6 :  :00;12/8/2016;7;13:  :00;175;1918;FOGO                                ;40,23
;;;;;;;;;;;;;10/17/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;33;MAYRA                               ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;17;10/13/2016;13:20:00;10/16/2016;3;22:30:00;81;1512;BRAVA                               ;60
;;;;;;;;;;;;;11/9/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;12;11/9/2015;06:50:00;11/9/2015;1;11:00:00;4;1151;ZARANHA                             ;0
;;;;;;;;;;;;;10/28/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;13;10/28/2015;08:20:00;10/28/2015;1;10:30:00;2;1781;FORMIGUINHA                         ;0
;;;;;;;;;;;;;10/24/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;19;DJETA                               ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;13;10/24/2015;06:00:00;10/24/2015;1;14:00:00;8;1148;RIBEIRA HINVERNO                    ;0
;;;;;;;;;;;;;10/24/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;12;10/24/2015;06:30:00;10/24/2015;1;09:50:00;3;1148;RIBEIRA HINVERNO                    ;0
;;;;;;;;;;;;;10/20/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;19;DJETA                               ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;14;10/20/2015;06:40:00;10/20/2015;1;09:30:00;2;1844;LAGOA                               ;0
;;;;;;;;;;;;;11/28/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;40;ISRAEL                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;7;11/24/2016;16:30:00;11/26/2016;2;20:  :00;51;1708;SUL DE MAIO                         ;200
;;;;;;;;;;;;;1/8/2015;INDUSTRIAL          ;B;4;SAL                                 ;8;SAL                                 ;19;PALMEIRA                            ;S;3314;MADIBA                              ;222;PALMEIRA                            ;222;PALMEIRA                            ;8;1/8/2015;06:00:00;1/8/2015;1;08:53:00;2;1824;RASO                                ;14
;;;;;;;;;;;;;2/4/2015;INDUSTRIAL          ;B;4;SAL                                 ;8;SAL                                 ;19;PALMEIRA                            ;I;21;MESTRE PIMENTEL                     ;222;PALMEIRA                            ;222;PALMEIRA                            ;10;2/4/2015;06:00:00;2/4/2015;1;11:50:00;5;1734;MADAMA                              ;19
;;;;;;;;;;;;;6/8/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3312;ELOISA                              ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;8;6/8/2016;07:  :00;6/8/2016;1;12:  :00;5;1646;SAO FRANCISCO                       ;0
;;;;;;;;;;;;;5/9/2016;INDUSTRIAL          ;B;2;S. VICENTE                          ;5;S. VICENTE                          ;11;MINDELO                             ;I;18;BARBARA                             ;281;CPCI                                ;281;CPCI                                ;15;5/8/2016;17:  :00;5/9/2016;1;11:  :00;18;1200;PORTO NOVO                          ;0
;;;;;;;;;;;;;5/24/2016;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;19;DJETA                               ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;14;5/24/2016;6 :  :00;5/24/2016;1;12:30:00;6;1886;JOAO REDONDO                        ;0
;;;;;;;;;;;;;12/28/2016;INDUSTRIAL          ;B;4;SAL                                 ;8;SAL                                 ;19;PALMEIRA                            ;I;2898;MESTRE MANUEL                       ;222;PALMEIRA                            ;222;PALMEIRA                            ;10;12/28/2016;5 :  :00;12/28/2016;1;10:50:00;5;1734;MADAMA                              ;36,58
;;;;;;;;;;;;;7/28/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;12;7/28/2015;02:00:00;7/28/2015;1;09:30:00;7;1780;BOCA CORVO                          ;0
;;;;;;;;;;;;;12/12/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;68;MANGRADE                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;12;12/7/2016;15:  :00;12/12/2016;5;09:  :00;114;1920;BANCONA                             ;120
;;;;;;;;;;;;;12/12/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;59;SAO JOAO BAPTISTA                   ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;7;12/7/2016;18:  :00;12/10/2016;3;15:  :00;69;1720;JOAO VALENTE                        ;67
;;;;;;;;;;;;;2/14/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;3369;3 FILHOS DO PAI                     ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;12;2/14/2017;06:00:00;2/14/2017;1;12:00:00;6;1774;MALUADA                             ;0
;;;;;;;;;;;;;11/16/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;11;11/16/2015;06:50:00;11/16/2015;1;11:00:00;4;1151;ZARANHA                             ;0
;;;;;;;;;;;;;10/12/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3032;MANUELA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;11;10/12/2015;06:30:00;10/12/2015;1;09:30:00;3;1781;FORMIGUINHA                         ;0
;;;;;;;;;;;;;11/12/2015;INDUSTRIAL          ;B;1;S. ANTÃO                            ;2;RIBEIRA GRANDE                      ;6;PONTA SOL                           ;I;3346;DEIVIKA                             ;268;PONTA DO SOL                        ;268;PONTA DO SOL                        ;11;11/12/2015;06:30:00;11/12/2015;1;10:00:00;3;1151;ZARANHA                             ;0
;;;;;;;;;;;;;11/30/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;2895;M. L.                               ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;20;11/27/2017;13:00:00;11/30/2017;3;17:20:00;76;1708;SUL DE MAIO                         ;200
;;;;;;;;;;;;;6/10/2017;INDUSTRIAL          ;S;9;SANTIAGO                            ;14;PRAIA                               ;42;CAIS DE PESCA                       ;I;68;MANGRADE                            ;226;CAIS DE PESCA PRAIA                 ;226;CAIS DE PESCA PRAIA                 ;12;6/9/2017;01:00:00;6/10/2017;1;19:10:00;42;1718;MAIO                                ;40
;;;;;;;;;;;;;6/9/2016;INDUSTRIAL          ;S;9;SANTIAGO                            ;13;SANTA CRUZ                          ;54;PEDRA BADEJO                        ;I;3054;NOSSA SENHORA DA LUZ                ;241;PEDRA BADEJO                        ;241;PEDRA BADEJO                        ;9;6/9/2016;7 :  :00;6/9/2016;1;08:37:00;1;1615;ACHADA PONTA                        ;25
