ILHA;;DATA PARTIDA;DATA CHEGADA;MÊS;DIA;ANO;PORTO EMBARQUE;PORTO DESEMBARQUE;ZONA DE PESCA;ENGENHO;GRUPO;ESPÉCIE CAPTURADA;NOME CIENTÍFICO;QUANTIDADE CAPTURADA (Kg)
Santiago;Ponta Preta;12/6/2018;12/6/2018;12;6;2018;Cais de pesca da Praia;Cais de pesca da Praia;Sul do Maio;Linha e vara;Tunídeos;Merma/ Panguil/ Txafarote;Euthynnus alleteratus;300
Santiago;Ponta Preta;12/6/2018;12/6/2018;12;6;2018;Cais de pesca da Praia;Cais de pesca da Praia;Sul do Maio;Linha e vara;Tunídeos;Gaiado;Katsuwonus pelamis;300
Santiago;Ponta Preta;12/6/2018;12/6/2018;12;6;2018;Cais de pesca da Praia;Cais de pesca da Praia;Sul do Maio;Linha e vara;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;250
Santiago;Mimosa;12/2/2018;12/6/2018;12;6;2018;Cais de pesca da Praia;Cais de pesca da Praia;Sul do Maio;Rede de cerco;Tunídeos;Gaiado;Katsuwonus pelamis;400
Santiago;Mimosa;12/2/2018;12/6/2018;12;6;2018;Cais de pesca da Praia;Cais de pesca da Praia;Sul do Maio;Rede de cerco;Tunídeos;Albacora;Thunnus albacares;650
Santiago;Mimosa;12/2/2018;12/6/2018;12;6;2018;Cais de pesca da Praia;Cais de pesca da Praia;Sul do Maio;Rede de cerco;Tunídeos;Merma/ Panguil/ Txafarote;Euthynnus alleteratus;500
Santiago;Fábio;12/1/2018;12/6/2018;12;6;2018;Cais de pesca da Praia;Cais de pesca da Praia;Tchadona;Linha;Tunídeos;Albacora;Thunnus albacares;420
Santiago;Fábio;12/1/2018;12/6/2018;12;6;2018;Cais de pesca da Praia;Cais de pesca da Praia;Tchadona;Linha;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;120
Santiago;Marlinda;12/5/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;Boa Vista;Rede de cerco;Demersais;Façola;Heteropriachanthus cruentatus;1500
Santiago;Marlinda;12/5/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;Boa Vista;Rede de cerco;Pequenos pelágicos;Chicharro;Selar crumenophthalmus;3000
Santiago;Marlinda;12/5/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;Boa Vista;Rede de cerco;Pequenos pelágicos;Pampo ou Corcovado;Selene dorsalis;200
Santiago;Marlinda;12/5/2018;12/10/2018;12;10;2018;Cais de pesca da Praia;Cais de pesca da Praia;Boa Vista;Rede de cerco;Pequenos pelágicos;Cavala branca;Decapterus punctatus;30
