"Amostragem","Ano","Mes","Grupo","Familia","Genero","Nome_cientifico","Especie","Engenho","Nome_engenho","Quantidade","Preco","Valor","Data_amostragem","Tipo_pesca","Regiao","Ilha","Nome_ilha","Concelho","Nome_concelho","Localidade","Nome_localidade","Tipo_embarcacao","Embarcacao","Nome_embarcacao","Porto_armamento","Nome_porto_armamento","Porto_desembarque","Nome_porto_desembarque","Numero_pescadores","Data_partida","Hora_partida","Data_chegada","Num_dias","Hora_chegada","Num_horas","Banco_pesca","Nome_banco_pesca","Profundidade_pesca_engenho1","fonte","nivel","engenhos_agregados","usar_na_serie"
"HIST_2003","2003",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","1398020",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2557",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_2004","2004",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","1085991",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1581",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_2005","2005",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","1460566",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"705",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_2006","2006",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","1937453",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"902",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_2007","2007",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","2292716",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2337",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_2008","2008",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","2033549",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2664",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_2009","2009",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","1373338",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3243",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_2010","2010",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","1442300",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3567",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_2011","2011",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","1911578",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3057",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
"HIST_2012","2012",NA,NA,NA,NA,"DECAPTERUS MACARELLUS","CAVALA PRETA",NA,"REDE DE CERCO","2488848",NA,NA,NA,"INDUSTRIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3435",NA,NA,NA,NA,NA,"Historico 1989-2014 (agregado)","anual","FALSE","TRUE"
