scenario,year_start,year_end,SPR_mean3,FM_mean3,SL50_mean3,SL95_mean3
BASE,2022,2024,0.59,3.07,29.823333333333334,34.443333333333335
S_MK_1.59,2022,2024,0.47,4.116666666666666,29.793333333333333,34.60666666666666
S_bin_2cm,2022,2024,0.62,3.0833333333333335,29.606666666666666,34.25
