"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",17201.8996837404,11203.8681009628,37536.0025585582,0.702,0.745
"r",0.267088526330941,0.14797555829487,0.528231167368391,0.319,0.458
"q",0.0000964393871246771,0.0000227074102147816,0.000167028574125727,0.518,0.554
"psi",0.730333455665447,0.455719364842,1.15238909461676,0.015,0.054
"sigma2",0.00499792169677688,0.00140572600429608,0.0375597835652935,0.771,0.334
"tau2",0.432116854330609,0.166782393355051,0.875021971660502,0.897,0.245
"m",2,2,2,NA,NA
