"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",14977.0828491699,9405.95543756436,22666.0978466986,0.267,0.083
"r",0.340758459767086,0.179790209886923,0.631864850745129,0.674,0.232
"q",0.000900455479381406,0.000371564984302268,0.0016615892663171,0.964,0.608
"psi",0.889558354032338,0.564711230156639,1.2898040247181,0.934,0.993
"sigma2",0.00264586924746938,0.00112928465227829,0.00880533802797637,0.476,0.885
"tau2",0.14299813051032,0.0240738580174445,0.669297737564784,0.325,0.162
"m",2,2,2,NA,NA
