"","mu","lci","uci"
"K",15818.0982480148,8357.91485818647,59776.3984160148
"r",0.449643828865788,0.228151366185016,0.860678978553156
"psi",0.894478464528327,0.560101091405053,1.28069909855907
"sigma.proc",0.051,0.033,0.091
"m",2,2,2
"Hmsy",0.225,0.114,0.43
"SBmsy",7909.049,4178.957,29888.199
"MSY",1600.732,1110.366,7276.994
"bmsyk",0.5,0.5,0.5
"P1989",0.895,0.551,1.285
"P2025",0.369,0.023,1.065
"B_Bmsy.cur",0.737,0.046,2.129
"H_Hmsy.cur",0.085,0.004,1.102
