"","mu","lci","uci"
"K",9128.9715857551,5777.77469792821,14785.6668604258
"r",0.759756067407569,0.432991668199854,1.31161400375753
"psi",0.802126381529904,0.509994626868563,1.21384961768236
"sigma.proc",0.055,0.036,0.119
"m",2,2,2
"Hmsy",0.38,0.216,0.656
"SBmsy",4564.486,2888.887,7392.833
"MSY",1673.609,1244.213,2764.356
"bmsyk",0.5,0.5,0.5
"P1989",0.793,0.494,1.224
"P2025",0.366,0.026,1.053
"B_Bmsy.cur",0.732,0.052,2.106
"H_Hmsy.cur",0.088,0.01,0.893
