"","mu","lci","uci"
"K",24597.6384398244,11775.4184015137,74551.5993034658
"r",0.45308527589028,0.22842264527926,0.876710192808713
"psi",0.793992621745914,0.495970014420262,1.23434546567915
"sigma.proc",0.053,0.035,0.1
"m",2,2,2
"Hmsy",0.227,0.114,0.438
"SBmsy",12298.819,5887.709,37275.8
"MSY",2704.401,1455.892,8414.183
"bmsyk",0.5,0.5,0.5
"P1989",0.789,0.484,1.239
"P2025",0.959,0.773,1.116
"B_Bmsy.cur",1.918,1.546,2.233
"H_Hmsy.cur",0.012,0.003,0.028
