"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",6241.90904838942,3651.39110048995,13228.5037608855,0.48,0.292
"r",0.393702635553276,0.207480948130438,0.746788542977443,0.264,0.321
"q",0.000808834351967008,0.000144210252023204,0.00157529858579006,0.699,0.422
"psi",0.306506931501784,0.123837748996595,0.965933943464146,0.897,0.096
"sigma2",0.00292527601451817,0.00126460174709842,0.0090615401887517,0.388,0.536
"tau2",0.0955877007079218,0.0051193412990592,0.63460564964297,0.702,0.907
"m",2,2,2,NA,NA
