"","mu","lci","uci"
"K",12101.6823815371,6640.53305592626,23904.2061922767
"r",0.30761437224492,0.164532377688609,0.591179055375808
"psi",0.169682428074665,0.0699067302417581,0.416422806885996
"sigma.proc",0.053,0.035,0.098
"m",2,2,2
"Hmsy",0.154,0.082,0.296
"SBmsy",6050.841,3320.267,11952.103
"MSY",933.596,455.475,1957.1
"bmsyk",0.5,0.5,0.5
"P2015",0.168,0.069,0.413
"P2025",0.059,0.022,0.352
"B_Bmsy.cur",0.118,0.045,0.704
"H_Hmsy.cur",0.546,0.106,1.359
