"cenario","ano_final","BBmsy","BBmsy_lci","BBmsy_uci","FFmsy","FFmsy_lci","FFmsy_uci","BB0","P_verde","P_amarelo","P_laranja","P_vermelho","P_sobrepescado","P_sofrendo_pesca"
"J1_C1_ingenuo","2025","0.409087151787319","0.159117262691683","1.91882785326741","0.135634831949477","0.0080985834670456","0.427830697658238","0.204543575893659","0.0908","0","0.9091","0.0001","0.9092","0.0001"
"J2_C2C3_nominal","2025","1.88276765374188","0.0611907005392946","2.18287678556341","0.0122235755700302","0.00422391570877809","0.793460310361694","0.941383826870942","0.9203","0","0.068","0.0117","0.0797","0.0117"
"J3_BASE_C2C5","2025","0.924543037751168","0.0520046519201289","2.14903419608152","0.0481073268538698","0.00521208993484456","0.980771757201323","0.462271518875584","0.5","0","0.4775","0.0225","0.5","0.0225"
"J5_soC5_curto","2025","0.737002382266671","0.0458554550433311","2.12922200900573","0.0850212278244456","0.00419809162456819","1.10215201449607","0.368501191133335","0.5","0","0.4591","0.0409","0.5","0.0409"
"J6_BASE_Fox","2025","2.58132282501096","2.09131997226938","2.97522051954528","0.00732888587981596","0.00241625637256406","0.0181502724502563","0.950090208409575","1","0","0","0","0","0"
"J7_BASE_rBaixo","2025","0.444263185907022","0.0525164118102462","2.11197806017207","0.149080513142268","0.006796428273934","1.20799343421055","0.222131592953511","0.4615","0","0.4815","0.057","0.5385","0.057"
"J8_BASE_rAlto","2025","1.93858826534122","1.7096991148168","2.1775210030682","0.0103096653190896","0.00341776014264067","0.0214211817451614","0.96929413267061","1","0","0","0","0","0"
"J9_soC3_curto","2025","0.0661386049457315","0.0398056467040011","0.318594718634084","0.722744815061153","0.157792252976145","1.49082880546318","0.0330693024728658","0","0","0.7885","0.2115","1","0.2115"
"J10_BASE_kBaixo","2025","0.732262474462399","0.0515749622322959","2.10614863648334","0.0878471310331628","0.0102354254849017","0.892745432766396","0.3661312372312","0.5","0","0.4882","0.0118","0.5","0.0118"
"J11_BASE_kAlto","2025","1.91859453195925","1.4864521959784","2.21764787785494","0.00772582415962046","0.00265226600839452","0.0228344975996298","0.959297265979624","0.9995","0","0.0005","0","0.0005","0"
"J12_soC2_historico","2025","1.91823464145328","1.54556774401766","2.23265346884323","0.0117268200687241","0.00346372870146076","0.0279129047185029","0.959117320726638","1","0","0","0","0","0"
"J18_BASE_C2C6","2025","1.04173653400383","0.0411812566002163","2.14082038560372","0.0447087279484055","0.00471815491951948","1.35377383276577","0.520868267001916","0.5011","0","0.3924","0.1065","0.4989","0.1065"
"J13_C5curto_base","2025","0.221509686310109","0.072488881968502","1.54034456353008","0.448301130774339","0.0504992008527932","1.20212637000408","0.110754843155054","0.0534","0","0.8934","0.0532","0.9466","0.0532"
"J14_C5curto_rBaixo","2025","0.291215467567413","0.0936036893155538","0.806149165153521","0.540088155644138","0.150198976963029","1.62964729183017","0.145607733783706","0.0108","0","0.852","0.1372","0.9892","0.1372"
"J15_C5curto_rAlto","2025","0.216225682687941","0.0873398637470276","0.850378065538513","0.384110149386821","0.103024924860837","0.93509628456433","0.10811284134397","0.0177","0","0.9641","0.0182","0.9823","0.0182"
"J16_C5curto_kBaixo","2025","0.246315894758894","0.100188801083955","1.00766998177816","0.439952522488496","0.113297711824532","1.20452078104405","0.123157947379447","0.0257","0","0.9217","0.0526","0.9743","0.0526"
"J17_C5curto_kAlto","2025","0.118495831733836","0.044843540914789","0.704430933920602","0.545849978694474","0.106455110176561","1.35881779910161","0.0592479158669179","0.0023","0","0.8989","0.0988","0.9977","0.0988"
"J19_C6curto_base","2025","0.215820122871676","0.0738345097519993","1.14490310848655","0.580478530189083","0.108706229647392","1.79887385220316","0.107910061435838","0.0409","0","0.7844","0.1747","0.9591","0.1747"
