"","B","F","BBmsy","FFmsy","BB0","procB","SPt"
"1989",15154.0548272267,0.0108752064084139,1.4231255740469,0.0847836759473015,0.711562787023452,-0.0171909236117589,0
"1990",15722.6972414521,0.0130536569927033,1.49900820265625,0.101008102524783,0.749504101328126,-0.012056626209239,844.496868646935
"1991",16171.8867764422,0.0146725025561132,1.55599993323381,0.114226705620439,0.777999966616904,-0.0146139342987666,726.032481948386
"1992",16741.2794033523,0.0665001261558952,1.61548672650334,0.516579185643375,0.807743363251669,-0.00638889123424202,784.269900774328
"1993",15958.2026408219,0.00916852467988763,1.55022937416795,0.0710724793342965,0.775114687083973,-0.0188799476128305,442.030934771821
"1994",16400.2646358222,0.0402301894795201,1.60373415771253,0.309706870385326,0.801867078856265,-0.0159930294032831,664.549326246037
"1995",16397.6259339482,0.0518729317947075,1.60371850411847,0.404456153116358,0.801859252059234,-0.00942875740259685,667.584308246841
"1996",16294.6975789032,0.0582931582159219,1.59905861538634,0.447425855310319,0.79952930769317,-0.00161325200728668,816.134712794616
"1997",16390.1818987067,0.131249113471225,1.59467224409757,1.00945501392429,0.797336122048784,0.0065731756446743,974.795004158291
"1998",15150.4803828472,0.12081522492453,1.47062211785392,0.954590074865027,0.73531105892696,0.00782650991542599,995.81640012887
"1999",14389.1892372832,0.108982623590153,1.40369691131943,0.873795317670142,0.701848455659717,0.0100258822267579,1249.05776952026
"2000",14137.175389995,0.0736464047370595,1.37178768358422,0.591965821108588,0.685893841792108,0.0154729487446355,1385.23655867868
"2001",14545.0132585834,0.0564023796847784,1.4205652381531,0.452915002301214,0.710282619076549,0.0234245392302563,1502.67621532796
"2002",15335.3651464743,0.109778396622842,1.49689731200986,0.863823111815806,0.748448656004932,0.0284933730892515,1545.46116473464
"2003",15060.3246175306,0.0890670448843772,1.47818022749945,0.70487750521949,0.739090113749726,0.0291044549516122,1487.02964474511
"2004",15324.7255675303,0.0687558755294582,1.50298755676601,0.541660784929906,0.751493778383007,0.032478894486772,1568.13738791438
"2005",15827.8688085346,0.0893336071441177,1.57013474996954,0.704086316408262,0.785067374984771,0.0360695653770378,1586.91480404392
"2006",15587.1781632306,0.120091039635221,1.55680574982636,0.953654747722557,0.778402874913179,0.0248400092345678,1336.04297663815
"2007",14551.0502088061,0.154057349852175,1.46773471563006,1.22447057520073,0.73386735781503,0.00936086110334355,1090.68931853995
"2008",13167.3225647403,0.154200221704797,1.3296336018476,1.24095113764396,0.664816800923798,0.00404795509458888,1092.61354837207
"2009",11991.7054311646,0.112754199541992,1.21716591374483,0.92360521799175,0.608582956872417,-0.00116917823944362,1109.89655190347
"2010",11580.4514964031,0.123390054239442,1.18311198196099,1.00813664462929,0.591555990980493,-0.000141363337361922,1157.04266905751
"2011",11020.5160137913,0.169887784501548,1.13522295890601,1.4129563069982,0.567611479453005,0.00121261409650031,1163.50647553741
"2012",9861.93196305255,0.255754334635155,1.02698641325182,2.22489541992635,0.513493206625909,-0.00252564750528317,1087.73083406941
"2013",7997.66606038994,0.283894604610274,0.810868764274419,2.72567090036187,0.405434382137209,-0.00842868508273054,956.573819057424
"2014",6343.599369235,0.202231482204311,0.630260075992146,2.18642024104249,0.315130037996073,-0.00645170615095747,900.417775452245
"2015",5626.03062051922,0.00424945996585211,0.544488453421436,0.0461047945300369,0.272244226710718,-0.00279769450448164,743.940956168009
"2016",6353.88725440335,0.0293990012613951,0.612230764534674,0.30862467029149,0.306115382267337,0.00837670040498217,651.308018902027
"2017",6570.7793097796,0.094218906588198,0.647478222654744,0.904128642615165,0.323739111327372,0.00224679344285267,688.113598014412
"2018",6268.7623042757,0.369908853635393,0.623787955034621,3.50097782701183,0.311893977517311,-0.00633632817373353,682.562716463623
"2019",4366.41290620573,0.191998119602894,0.423852335104249,2.23200494333799,0.211926167552125,-0.00593509012493338,687.720281130991
"2020",3689.58978967453,0.11196018873731,0.364237883853783,1.32424208028441,0.182118941926892,-0.016856441061886,347.536144868176
"2021",3429.80697917694,0.0439588049260208,0.340336717588325,0.507781504541976,0.170168358794163,-0.0214982347631359,231.122275246693
"2022",3593.1346433731,0.0420417565144855,0.356292591232163,0.487830694927834,0.178146295616081,-0.0130378669508571,209.243666024126
"2023",3773.2095399981,0.0551247860385245,0.382457706073183,0.617547141453485,0.191228853036591,-0.00157543810234029,243.443005622879
"2024",4061.57218475492,0.0685056029125245,0.413513334036644,0.753256920968607,0.206756667018322,0.00335334792416209,264.290339293993
"2025",4338.29408099548,0.0137994506120033,0.444263185907022,0.149080513142268,0.222131592953511,0.000139917782335575,264.740827362696
