"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",19375.8275153708,8630.62607491828,52808.1640181943,0.086,0.216
"r",0.478952703086295,0.225467601527508,0.907243792665894,0.191,0.462
"q.1",0.0000509272466309349,0.0000161029214062523,0.000133602239303004,0.15,0.17
"q.2",0.0000498615942436452,0.0000156048734085053,0.000140381453956086,0.444,0.496
"psi",0.797182717610045,0.509895726403441,1.21612617433197,0.412,0.887
"sigma2",0.00287506728491708,0.00118268016743088,0.0105310317711023,0.291,0.516
"tau2.1",0.390967887100894,0.205954035059647,0.783356894031077,0.41,0.533
"tau2.2",0.506900780434408,0.202373216496075,1.01530777241027,0.791,0.525
"m",1.001,1.001,1.001,NA,NA
