"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",17127.8961562566,9315.14643916281,56172.1604721919,0.48,0.268
"r",0.417918087658229,0.196413003941617,0.8880985269976,0.916,0.982
"q.1",0.0000701261687082353,0.0000154142941448726,0.000149632147258135,0.227,0.176
"q.2",0.000151843843146711,0.0000146079169383756,0.00144905317670777,0.952,0.294
"psi",0.752338405491416,0.450686006867886,1.1840339905303,0.577,0.172
"sigma2",0.00325196201092988,0.00131204553531245,0.0154808842838135,0.11,0.321
"tau2.1",0.426608881939483,0.207034672131999,0.873411059254531,0.082,0.672
"tau2.2",0.331023094497674,0.00235939107643186,1.00000139261224,0.683,0.267
"m",2,2,2,NA,NA
