"","mu","lci","uci"
"K",15097.1778584667,8440.01849986322,47077.0070228847
"r",0.477210858258998,0.240153872499828,0.885876127065651
"psi",0.780597690505663,0.475720693226141,1.21386217554448
"sigma.proc",0.055,0.038,0.111
"m",2,2,2
"Hmsy",0.239,0.12,0.443
"SBmsy",7548.589,4220.009,23538.504
"MSY",1603.019,1088.095,5766.658
"bmsyk",0.5,0.5,0.5
"P1989",0.774,0.462,1.22
"P2025",0.462,0.026,1.075
"B_Bmsy.cur",0.925,0.052,2.149
"H_Hmsy.cur",0.048,0.005,0.981
