"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",7323.65864563361,4384.01151181835,14430.9729331129,0.145,0.683
"r",0.213323164107408,0.101969869123316,0.442475201694916,0.428,0.814
"q",0.000499510693923668,0.000196206547293814,0.00102742113301788,0.478,0.397
"psi",0.438826243917421,0.185677718855781,0.950848561333802,0.115,0.453
"sigma2",0.00275171852306146,0.00113643128841861,0.009397633670598,0.434,0.096
"tau2",0.147057445524498,0.00905694696505236,0.669988875670149,0.299,0.411
"m",2,2,2,NA,NA
