"","mu","lci","uci"
"K",14977.0828491699,9405.95543756436,22666.0978466986
"r",0.340758459767086,0.179790209886923,0.631864850745129
"psi",0.889558354032338,0.564711230156639,1.2898040247181
"sigma.proc",0.051,0.034,0.094
"m",2,2,2
"Hmsy",0.17,0.09,0.316
"SBmsy",7488.541,4702.978,11333.049
"MSY",1284.051,936.559,1602.528
"bmsyk",0.5,0.5,0.5
"P1989",0.888,0.562,1.292
"P2025",0.033,0.02,0.159
"B_Bmsy.cur",0.066,0.04,0.319
"H_Hmsy.cur",0.723,0.158,1.491
