"","mu","lci","uci"
"K",5077.62032356732,3379.32229545897,8048.86398126699
"r",0.444250323252235,0.226071762680497,0.777998142480737
"psi",0.343854804607086,0.160420444988743,0.849083344137747
"sigma.proc",0.053,0.035,0.098
"m",2,2,2
"Hmsy",0.222,0.113,0.389
"SBmsy",2538.81,1689.661,4024.432
"MSY",572.099,314.847,919.807
"bmsyk",0.5,0.5,0.5
"P2015",0.344,0.161,0.846
"P2025",0.123,0.05,0.504
"B_Bmsy.cur",0.246,0.1,1.008
"H_Hmsy.cur",0.44,0.113,1.205
