"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",15177.8368744961,6906.54726446883,48924.2910761769,0.95,0.976
"r",0.492877732247312,0.225908230593583,1.03877818770648,0.471,0.202
"q.1",0.0000787591261855306,0.0000177381924628678,0.000196908618499925,0.822,0.838
"q.2",0.000197846291323033,0.0000170384907612503,0.00217904910400949,0.952,0.588
"psi",0.777430490362284,0.477275622474121,1.21232398770381,0.511,0.847
"sigma2",0.00305750815126344,0.00140997265770034,0.0143326779720032,0.878,0.403
"tau2.1",0.4336214685908,0.213199347316269,0.863611191251233,0.382,0.818
"tau2.2",0.254789652133496,0.00151089282878954,0.964038380121912,0.807,0.366
"m",2,2,2,NA,NA
