"","mu","lci","uci"
"K",41667.0398363409,21422.3283528896,86116.2427594481
"r",0.400916541396512,0.20130427973263,0.792545121221137
"psi",0.801625442418087,0.498761543953808,1.22929660824713
"sigma.proc",0.057,0.037,0.106
"m",2,2,2
"Hmsy",0.2,0.101,0.396
"SBmsy",20833.52,10711.164,43058.121
"MSY",4159.501,1803.399,10977.134
"bmsyk",0.5,0.5,0.5
"P1989",0.796,0.487,1.238
"P2025",0.959,0.743,1.109
"B_Bmsy.cur",1.919,1.486,2.218
"H_Hmsy.cur",0.008,0.003,0.023
