"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",5077.62032356732,3379.32229545897,8048.86398126699,0.691,0.487
"r",0.444250323252235,0.226071762680497,0.777998142480737,0.975,0.498
"q",0.000884801359871706,0.000329976458983375,0.00161052098425539,0.426,0.535
"psi",0.343854804607086,0.160420444988743,0.849083344137747,0.834,0.441
"sigma2",0.00284865540688807,0.00119403336565088,0.00953751257361181,0.184,0.69
"tau2",0.0833820798143101,0.00258874145733813,0.582562927313284,0.868,0.939
"m",2,2,2,NA,NA
