"","mu","lci","uci"
"K",16024.711461108,8075.23529105157,42555.2355928615
"r",0.775461904979586,0.458821058185924,1.34107395561206
"psi",0.832194835073933,0.527471989731202,1.25211577006069
"sigma.proc",0.052,0.035,0.092
"m",2,2,2
"Hmsy",0.388,0.229,0.671
"SBmsy",8012.356,4037.618,21277.618
"MSY",3048.877,1781.139,8445.62
"bmsyk",0.5,0.5,0.5
"P1989",0.828,0.52,1.247
"P2025",0.969,0.855,1.089
"B_Bmsy.cur",1.939,1.71,2.178
"H_Hmsy.cur",0.01,0.003,0.021
