"","mu","lci","uci"
"K",21064.5938662711,11092.142641677,59420.9475730608
"r",0.264902812185081,0.117405597462052,0.575145853324319
"psi",0.727050031230287,0.474683360710485,1.143078273482
"sigma.proc",0.063,0.04,0.155
"m",2,2,2
"Hmsy",0.132,0.059,0.288
"SBmsy",10532.297,5546.071,29710.474
"MSY",1323.955,687.086,4390.817
"bmsyk",0.5,0.5,0.5
"P1989",0.712,0.452,1.141
"P2025",0.222,0.026,1.056
"B_Bmsy.cur",0.444,0.053,2.112
"H_Hmsy.cur",0.149,0.007,1.208
