"","mu","lci","uci"
"K",22209.843979391,10745.4361766838,61549.4633762872
"r",0.476274793817451,0.227710778519615,0.927739412277449
"psi",0.783424222853805,0.4914415856538,1.23057911785774
"sigma.proc",0.058,0.039,0.119
"m",2,2,2
"Hmsy",0.238,0.114,0.464
"SBmsy",11104.922,5372.718,30774.732
"MSY",2664.202,1165.459,7033.776
"bmsyk",0.5,0.5,0.5
"P1989",0.775,0.476,1.231
"P2025",0.941,0.031,1.091
"B_Bmsy.cur",1.883,0.061,2.183
"H_Hmsy.cur",0.012,0.004,0.793
