"","B","F","BBmsy","FFmsy","BB0","procB","SPt"
"1989",17195.8218019822,0.00958514622269344,1.55044512582724,0.040127680822204,0.775222562913622,-0.00942932854958367,0
"1990",18264.3788333013,0.0112562834109663,1.69142598267012,0.046255100133425,0.845712991335058,-0.00620634833386213,1399.40543403771
"1991",19184.3455128917,0.0125142440349036,1.7779324992039,0.051584611956733,0.88896624960195,-0.00944518519034476,1024.03331351152
"1992",19985.321338663,0.0562662592942656,1.83900741073069,0.231301992473167,0.919503705365347,-0.001936451254682,899.363523675899
"1993",19204.1100518287,0.00759420438151004,1.76176503897182,0.031646498866666,0.880882519485912,-0.0134666403181813,425.824674226182
"1994",19922.7607389199,0.0339961929072085,1.82547380227383,0.139157749982982,0.912736901136915,-0.0126122070347319,794.291251102003
"1995",19739.7276767427,0.043921141963253,1.80731737388553,0.180537670499346,0.903658686942763,-0.00925407627646502,565.665199378614
"1996",19555.2345779019,0.0498057354958817,1.78849409821287,0.203926127907941,0.894247049106436,-0.00787631624025664,710.096314794224
"1997",19478.643800372,0.113024908065456,1.77515027056425,0.466330714600072,0.887575135282126,-0.00112161890405771,888.622460918431
"1998",18105.4166886391,0.103362032761902,1.64735790990375,0.431272993456521,0.823678954951873,-0.00316138316157155,864.672792594761
"1999",17696.9442838438,0.0917586448408289,1.60548763420983,0.37698959837074,0.802743817104913,-0.00218646804792222,1395.00081070991
"2000",17776.0604367877,0.0599165808905465,1.61059482277525,0.250325318209173,0.805297411387626,0.00345594132725346,1614.16610334101
"2001",18382.7659923099,0.0456997442142791,1.67053253318419,0.188869488931042,0.835266266592095,0.00783801688668251,1685.49289066425
"2002",19156.135358616,0.0901396615297122,1.73923114955647,0.369836585019384,0.869615574778233,0.0113496862024032,1559.63870105214
"2003",18809.9685165294,0.0733566403291529,1.70555052280746,0.303687929477795,0.852775261403731,0.0137345361775471,1381.70171275096
"2004",19111.9481350105,0.0559933979382496,1.72792793065043,0.230523176387331,0.863963965325214,0.0182726532739516,1628.25137450426
"2005",19651.9272627899,0.0733014938481962,1.77903882969754,0.301198108423092,0.889519414848772,0.0217952493959015,1610.88957487103
"2006",19567.1344817325,0.0973595654244465,1.76616403624823,0.404711257087867,0.883082018124117,0.0166261602456392,1325.26858751571
"2007",18814.8157334343,0.120448992003452,1.69892614516574,0.499634116445579,0.849463072582869,0.00844703299230321,1202.74124848072
"2008",17825.2719538676,0.113582816620931,1.61972834227376,0.470354656250091,0.809864171136881,0.00455883029111126,1371.91722483362
"2009",17424.4313373009,0.0794364889808365,1.58457571999454,0.325570523740353,0.792287859997271,0.000781440351142138,1558.99775907725
"2010",17798.7086844214,0.0812425262159562,1.62071034503287,0.334083370089346,0.810355172516437,0.000994011493451574,1647.9557128476
"2011",18012.0730964765,0.105877999572682,1.63883497992475,0.436032462502035,0.819417489962376,0.00474219730464687,1590.20453860448
"2012",17585.8662906421,0.14193419140156,1.60959425818268,0.57619237622097,0.804797129091339,0.00245354252797125,1498.08959559807
"2013",16658.0338058421,0.132749951434439,1.52662856347149,0.540504816786707,0.763314281735743,-0.000721588644782001,1493.33805580617
"2014",16352.4369667436,0.0778131867176766,1.49686530102511,0.316672883526001,0.748432650512557,-0.0000304918284148581,1706.57062489068
"2015",17140.592169926,0.00140219987200642,1.57495132179219,0.00572613175903217,0.787475660896095,0.00550586017534815,1910.18159989168
"2016",19073.8804909162,0.0098588500906959,1.74659338649077,0.0397860335808246,0.873296693245383,0.00709164328951473,1715.03197110448
"2017",19965.1805007995,0.0311663656763057,1.82545072868985,0.126232783463213,0.912725364344925,0.0031597046438373,1058.17924611214
"2018",20022.5792596676,0.110267407930569,1.83347829346092,0.448681377253945,0.916739146730462,0.000642315344036692,765.938030444109
"2019",18586.3738833072,0.0427039894599778,1.69221163558104,0.175680169297576,0.846105817790521,0.00327691944180075,809.665869157276
"2020",19023.7306864497,0.0217704445933101,1.73896901514889,0.0882312116052586,0.869484507574443,-0.00494043419414814,1103.93761705359
"2021",19447.7765655695,0.00802477349661664,1.78248167855196,0.0323860971826586,0.891240839275978,-0.00950002128296012,822.151304300428
"2022",20036.5816800983,0.00756945559710564,1.83806599840242,0.0307979861489904,0.919032999201209,-0.00896060683527544,622.815434299896
"2023",20508.3275683592,0.0105332856546119,1.87271255577233,0.0426161371512924,0.936356277886166,-0.00588366014542729,471.056655575362
"2024",20735.665423749,0.0138009458758292,1.88813078753364,0.0563650813497072,0.944065393766819,-0.00422184696640482,318.684846049718
"2025",20599.2759070643,0.00302942893085481,1.88276765374188,0.0122235755700302,0.941383826870942,-0.00936594621916687,233.967660255466
