"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",5626.82521081674,3669.10456126352,10024.1255021776,0.811,0.842
"r",0.341603727449431,0.184857815337875,0.596932447301686,0.486,0.813
"q",0.000708924616054699,0.000225068873571622,0.00129998855373214,0.666,0.578
"psi",0.425179002238845,0.196222752831655,1.14137054053141,0.452,0.809
"sigma2",0.00263826546295539,0.00111627323868468,0.00886378178997449,0.542,0.633
"tau2",0.150069862219311,0.0164338116626509,0.683402759748432,0.633,0.374
"m",2,2,2,NA,NA
