"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",21064.5938662711,11092.142641677,59420.9475730608,0.137,0.447
"r",0.264902812185081,0.117405597462052,0.575145853324319,0.246,0.27
"q.1",0.0000571163817677359,0.0000154475473456862,0.000129155289281991,0.17,0.529
"q.2",0.000186589425610314,0.0000144226405952319,0.00119510627444438,0.486,0.522
"psi",0.727050031230287,0.474683360710485,1.143078273482,0.835,0.57
"sigma2",0.0039907722799086,0.00161126940470428,0.0240549042888909,0.512,0.196
"tau2.1",0.406381584292678,0.186612846467058,0.861500990038804,0.999,0.627
"tau2.2",0.278698409493046,0.00829273697097783,0.958750331138391,0.535,0.77
"m",2,2,2,NA,NA
