"","mu","lci","uci"
"K",4698.94753748857,2950.21080629634,8583.06479753638
"r",0.625628598063226,0.387924775763082,0.950986400212578
"psi",0.244101833640542,0.109226331543746,0.606009243446493
"sigma.proc",0.054,0.035,0.098
"m",2,2,2
"Hmsy",0.313,0.194,0.475
"SBmsy",2349.474,1475.105,4291.532
"MSY",737.428,461.06,1209.687
"bmsyk",0.5,0.5,0.5
"P2015",0.242,0.108,0.6
"P2025",0.108,0.044,0.425
"B_Bmsy.cur",0.216,0.087,0.85
"H_Hmsy.cur",0.384,0.103,0.935
