"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",4698.94753748857,2950.21080629634,8583.06479753638,0.179,0.686
"r",0.625628598063226,0.387924775763082,0.950986400212578,0.133,0.326
"q",0.00117388634103351,0.000511513733639742,0.00197957953401265,0.651,0.395
"psi",0.244101833640542,0.109226331543746,0.606009243446493,0.197,0.081
"sigma2",0.00290514634835191,0.00121318754993043,0.00960431729045643,0.146,0.354
"tau2",0.0459782195162923,0.00133856845742336,0.537013426960435,0.415,0.692
"m",2,2,2,NA,NA
