"","mu","lci","uci"
"K",5626.82521081674,3669.10456126352,10024.1255021776
"r",0.341603727449431,0.184857815337875,0.596932447301686
"psi",0.425179002238845,0.196222752831655,1.14137054053141
"sigma.proc",0.051,0.033,0.094
"m",2,2,2
"Hmsy",0.171,0.092,0.298
"SBmsy",2813.413,1834.552,5012.063
"MSY",491.789,274.3,843.818
"bmsyk",0.5,0.5,0.5
"P2015",0.423,0.196,1.147
"P2025",0.108,0.037,0.572
"B_Bmsy.cur",0.216,0.074,1.145
"H_Hmsy.cur",0.58,0.109,1.799
