"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",41667.0398363409,21422.3283528896,86116.2427594481,0.279,0.905
"r",0.400916541396512,0.20130427973263,0.792545121221137,0.148,0.2
"q.1",0.0000217808003867016,0.00000968953468185241,0.0000482752306707508,0.25,0.709
"q.2",0.0000216804621997651,0.00000908359001932552,0.0000543935844622725,0.12,0.741
"psi",0.801625442418087,0.498761543953808,1.22929660824713,0.422,0.162
"sigma2",0.00326795331844823,0.00135715659561967,0.0113186999884115,0.136,0.065
"tau2.1",0.367645870606885,0.190599580894024,0.730984031489643,0.71,0.498
"tau2.2",0.480730822578005,0.183564335169891,0.998413325127584,0.578,0.488
"m",2,2,2,NA,NA
