"","B","F","BBmsy","FFmsy","BB0","procB","SPt"
"1989",15163.397178611,0.0109559226581973,2.15473913207949,0.0233387366126914,0.793080404833509,-0.00557348484163733,0
"1990",16312.6719500932,0.0126386228412384,2.36642650372696,0.0268215609108949,0.870994758318282,-0.00658639387453475,1365.80304437202
"1991",17025.9654951586,0.0142107304024385,2.46876939462938,0.0303929566982511,0.908663420914292,-0.00832327962898782,849.221074636968
"1992",17614.0746464881,0.0638089321785007,2.53417483914872,0.136564635115527,0.932736764942556,-0.00137764949921504,710.389454321939
"1993",16872.7600760066,0.00878368013222216,2.39901048463822,0.0189411720529948,0.882987725999365,-0.0109416393989075,340.916845341918
"1994",17493.7401586821,0.0385900792089516,2.4951993813873,0.0829870948431596,0.91839132917272,-0.0107939262069263,755.266262519573
"1995",17291.882104008,0.0507570640233843,2.46390267094343,0.108788651509846,0.906872158513383,-0.00886381394229585,494.261533026571
"1996",17098.3893221236,0.0567428862855215,2.42310835414672,0.122483016954644,0.891857267476982,-0.00663534946134181,616.064794640006
"1997",16933.6468265587,0.131535528015137,2.39579302935425,0.284733929509735,0.881803498776146,-0.00195297174759002,815.149965490033
"1998",15502.6232416072,0.121971060910794,2.18485648902527,0.266763868814314,0.804165498747418,-0.00586551746653852,798.013955333474
"1999",15080.5671282656,0.107998635775761,2.12603022910833,0.23547975527747,0.782513711143439,-0.00274173043025061,1423.24266901935
"2000",15054.5912956604,0.0718652104361487,2.12880850392682,0.155165319342084,0.783536292153352,-0.000407696113772449,1631.61294489012
"2001",15688.4504617853,0.0539799129108085,2.22724344063289,0.116611253294994,0.819766580214845,0.00482152849194761,1693.64081620107
"2002",16353.6541643443,0.105791718254227,2.32676435675298,0.228036407942501,0.856396577447853,0.00709147952957823,1493.31496019707
"2003",15938.1369525772,0.0862446985511887,2.2479209311637,0.185527379564756,0.827377205704014,0.00878627590350201,1291.32564373
"2004",16142.2390430009,0.0667606380677715,2.2845767408378,0.143614810420187,0.840868864134047,0.0140854631896454,1572.7874126758
"2005",16647.4283502455,0.0871743207053782,2.36340414430956,0.18478261972929,0.869882338724368,0.0187863833933921,1588.14593702694
"2006",16604.9645368835,0.115280008480627,2.33428724649922,0.250468728660195,0.859165477105655,0.0134917402991117,1327.35925805427
"2007",15865.7117463706,0.145567244125902,2.24065655006161,0.311361424232377,0.82470345359197,0.00782137441337327,1274.74614643443
"2008",14970.9264924955,0.136679946253058,2.11782643626528,0.298354066142193,0.779494196041922,0.00384905430019544,1440.27979214525
"2009",14592.4972578953,0.0947027236468935,2.06418438009621,0.20470833492787,0.759750523599493,-0.000185594409400691,1678.60931790812
"2010",15122.7958896533,0.0961012703131049,2.13783710166244,0.205609451201302,0.78685938766902,0.00133005572652589,1803.32503414339
"2011",15292.7495881154,0.12571193343594,2.17487892788892,0.26960278355857,0.80049312462683,0.00350282258956014,1677.51902324695
"2012",14855.2387313704,0.168185194310279,2.11659462670841,0.360765839743309,0.779040812146168,0.00333022609773725,1561.65564147203
"2013",13964.9052938924,0.15960319927717,1.99037803273437,0.342924640816974,0.732585115512009,0.000285067137256179,1641.80428589817
"2014",13660.9404143192,0.0934995400002515,1.95101442693181,0.2013449577106,0.718096816691596,-0.00151080277311766,1893.55751316539
"2015",14517.2575330775,0.00167533466997614,2.08377882857419,0.00358068148520682,0.766962521052013,0.00337728637352652,2040.25892324682
"2016",16443.3486134453,0.0113687891005294,2.36634788335264,0.0241528097773181,0.870965821043524,0.00755901546787319,1869.30974190206
"2017",17328.5505066425,0.0361497982438119,2.49800696338545,0.0762892233262731,0.919424697080021,0.00572679487134797,1169.6715615484
"2018",17383.7641819985,0.12827236849648,2.4866599188428,0.273036359521851,0.915248266371743,-0.0011733213314562,667.305543825202
"2019",15785.7794880726,0.0508035122875948,2.24327394792787,0.108199231384973,0.825666821699262,0.000957648681866985,704.452089682236
"2020",16197.7142703421,0.0255681826536649,2.32184418239519,0.0546041113813796,0.854585641816049,-0.00595275485985725,1290.50619667907
"2021",16740.0499163597,0.00935386084155172,2.40609094484063,0.0197952179369371,0.88559378357735,-0.0100532797057331,998.318048786448
"2022",17270.258131848,0.00884381675756515,2.49018300431027,0.0186694194247086,0.916544984850192,-0.00987766394998801,775.588083872816
"2023",17733.8850250236,0.0121017852583146,2.54922023194501,0.0257936102257243,0.938274421929481,-0.00472322514546586,572.845210720609
"2024",17981.6650918301,0.0159196912508806,2.57726637424535,0.0341595025812669,0.948597177737099,-0.00305983369905549,444.089366004525
"2025",18133.4632527187,0.00342177998664318,2.58132282501096,0.00732888587981596,0.950090208409575,-0.00265942746780201,375.336817280221
