"","mu","lci","uci"
"K",17201.8996837404,11203.8681009628,37536.0025585582
"r",0.267088526330941,0.14797555829487,0.528231167368391
"psi",0.730333455665447,0.455719364842,1.15238909461676
"sigma.proc",0.071,0.037,0.194
"m",2,2,2
"Hmsy",0.134,0.074,0.264
"SBmsy",8600.95,5601.934,18768.001
"MSY",1147.275,757.283,3944.303
"bmsyk",0.5,0.5,0.5
"P1989",0.706,0.42,1.143
"P2025",0.205,0.08,0.959
"B_Bmsy.cur",0.409,0.159,1.919
"H_Hmsy.cur",0.136,0.008,0.428
