"","mu","lci","uci"
"K",15177.8368744961,6906.54726446883,48924.2910761769
"r",0.492877732247312,0.225908230593583,1.03877818770648
"psi",0.777430490362284,0.477275622474121,1.21232398770381
"sigma.proc",0.055,0.038,0.12
"m",2,2,2
"Hmsy",0.246,0.113,0.519
"SBmsy",7588.918,3453.274,24462.146
"MSY",1660.948,1052.291,5847.778
"bmsyk",0.5,0.5,0.5
"P1989",0.771,0.463,1.219
"P2025",0.459,0.024,1.065
"B_Bmsy.cur",0.918,0.048,2.129
"H_Hmsy.cur",0.062,0.005,1.033
