"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",16024.711461108,8075.23529105157,42555.2355928615,0.894,0.319
"r",0.775461904979586,0.458821058185924,1.34107395561206,0.402,0.747
"q.1",0.0000584228697430808,0.0000197292168366187,0.000136324520918742,0.579,0.518
"q.2",0.0000569402473357249,0.0000187281694452315,0.000145210689927207,0.386,0.135
"psi",0.832194835073933,0.527471989731202,1.25211577006069,0.138,0.146
"sigma2",0.00273065661921827,0.00121046762140764,0.00853654487363499,0.346,0.54
"tau2.1",0.388860332740403,0.206839121089806,0.769171795294845,0.278,0.087
"tau2.2",0.499986629968336,0.201190641102005,1.0153310785908,0.007,0.189
"m",2,2,2,NA,NA
