"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",24597.6384398244,11775.4184015137,74551.5993034658,0.471,0.988
"r",0.45308527589028,0.22842264527926,0.876710192808713,0.756,0.96
"q",0.0000390192914469699,0.0000117774986826293,0.000094301718090697,0.716,0.992
"psi",0.793992621745914,0.495970014420262,1.23434546567915,0.315,0.269
"sigma2",0.00280531431289256,0.00123702605970298,0.010095082418653,0.178,0.309
"tau2",0.381945430175249,0.197952202971581,0.766432846998872,0.704,0.385
"m",2,2,2,NA,NA
