"","mu","lci","uci"
"K",6241.90904838942,3651.39110048995,13228.5037608855
"r",0.393702635553276,0.207480948130438,0.746788542977443
"psi",0.306506931501784,0.123837748996595,0.965933943464146
"sigma.proc",0.054,0.036,0.095
"m",2,2,2
"Hmsy",0.197,0.104,0.373
"SBmsy",3120.955,1825.696,6614.252
"MSY",634.806,329.214,1223.191
"bmsyk",0.5,0.5,0.5
"P2015",0.305,0.123,0.968
"P2025",0.111,0.036,0.77
"B_Bmsy.cur",0.222,0.072,1.54
"H_Hmsy.cur",0.448,0.05,1.202
