"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",15097.1778584667,8440.01849986322,47077.0070228847,0.562,0.978
"r",0.477210858258998,0.240153872499828,0.885876127065651,0.889,0.279
"q.1",0.0000782249500232093,0.0000182786561546373,0.000167147859759577,0.935,0.904
"q.2",0.000165565672321509,0.000017453677591999,0.00157113325830036,0.837,0.529
"psi",0.780597690505663,0.475720693226141,1.21386217554448,0.61,0.614
"sigma2",0.00298599188568487,0.001424907809892,0.0123519802853844,0.736,0.893
"tau2.1",0.43636470431618,0.212788045154381,0.884306312325956,0.388,0.589
"tau2.2",0.250578077227674,0.00167858127050203,0.96255102840902,0.76,0.804
"m",2,2,2,NA,NA
