"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",9128.9715857551,5777.77469792821,14785.6668604258,0.359,0.858
"r",0.759756067407569,0.432991668199854,1.31161400375753,0.198,0.11
"q.1",0.000127759788413493,0.0000636642957753181,0.000229170885238103,0.409,0.915
"q.2",0.000476033991106849,0.0000554085674153951,0.00251956536567888,0.943,0.417
"psi",0.802126381529904,0.509994626868563,1.21384961768236,0.211,0.429
"sigma2",0.0030617694284037,0.0012756356515778,0.0140433734415355,0.994,0.542
"tau2.1",0.43983787040228,0.225534446549082,0.867863008298567,0.662,0.47
"tau2.2",0.212004445201027,0.00178401061572311,0.973864039240188,0.865,0.582
"m",2,2,2,NA,NA
