"","mu","lci","uci"
"K",17127.8961562566,9315.14643916281,56172.1604721919
"r",0.417918087658229,0.196413003941617,0.8880985269976
"psi",0.752338405491416,0.450686006867886,1.1840339905303
"sigma.proc",0.057,0.036,0.124
"m",2,2,2
"Hmsy",0.209,0.098,0.444
"SBmsy",8563.948,4657.573,28086.08
"MSY",1550.919,976.687,6403.781
"bmsyk",0.5,0.5,0.5
"P1989",0.743,0.44,1.185
"P2025",0.521,0.021,1.07
"B_Bmsy.cur",1.042,0.041,2.141
"H_Hmsy.cur",0.045,0.005,1.354
