"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",15818.0982480148,8357.91485818647,59776.3984160148,0.21,0.481
"r",0.449643828865788,0.228151366185016,0.860678978553156,0.324,0.151
"q",0.000278675216320378,0.0000134621229554087,0.00168682570878509,0.627,0.538
"psi",0.894478464528327,0.560101091405053,1.28069909855907,0.497,0.161
"sigma2",0.00256782694408379,0.00112197959237375,0.00823821748012003,0.662,0.9
"tau2",0.24425808952552,0.0032349820812416,0.959847501926641,0.643,0.597
"m",2,2,2,NA,NA
