"","mu","lci","uci"
"K",19375.8275153708,8630.62607491828,52808.1640181943
"r",0.478952703086295,0.225467601527508,0.907243792665894
"psi",0.797182717610045,0.509895726403441,1.21612617433197
"sigma.proc",0.054,0.034,0.103
"m",1.001,1.001,1.001
"Hmsy",0.478,0.225,0.906
"SBmsy",7131.531,3176.617,19436.747
"MSY",3229.727,1644.371,9059.627
"bmsyk",0.368,0.368,0.368
"P1989",0.793,0.501,1.223
"P2025",0.95,0.77,1.095
"B_Bmsy.cur",2.581,2.091,2.975
"H_Hmsy.cur",0.007,0.002,0.018
