"","Median","LCI","UCI","Geweke.p","Heidel.p"
"K",12101.6823815371,6640.53305592626,23904.2061922767,0.225,0.52
"r",0.30761437224492,0.164532377688609,0.591179055375808,0.579,0.144
"q",0.000733229694574516,0.000223602737112966,0.0014440101005985,0.877,0.785
"psi",0.169682428074665,0.0699067302417581,0.416422806885996,0.295,0.307
"sigma2",0.00278764808058594,0.00123450890101703,0.00969122637217345,0.885,0.96
"tau2",0.0884762556645929,0.00200136939956922,0.630845179470581,0.332,0.911
"m",2,2,2,NA,NA
