"cenario_id","bk_method","r_method","MSY"
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2092.43793082659
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1811.39669173503
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2696.74613917129
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1556.11665486896
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2703.49816142595
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1370.75320908431
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1805.50349229383
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1517.07283527741
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1828.77679516034
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2110.41669097976
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2217.80462846841
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1764.15292734824
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1885.61273724471
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1323.54967342517
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1668.91436858835
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1975.40784115278
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1569.63050213826
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2000.78973443162
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1492.54626881317
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1453.52241301346
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1734.27378018265
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1600.42364788021
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1978.24397376881
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1627.46319592458
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1665.79269149798
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1873.66607492878
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2003.66904173351
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2141.41376820398
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1573.02085627643
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2432.9362264737
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1903.79188307085
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2386.483553248
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1500.78579733488
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2356.34242133439
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2016.3203732209
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1424.80037009124
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1357.18521784446
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1930.70287270477
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1554.75520234552
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1410.31910424689
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1628.54699051291
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1570.22205652906
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2588.97073936639
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1711.67744675353
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1853.14230231879
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1934.51955286877
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1988.73328824995
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1553.10385855612
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1595.89999378887
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1502.70796425823
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2360.93792995932
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1447.19796268662
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2399.46150770958
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1679.14119304618
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1427.52530072628
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1210.71764244216
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1819.68444531453
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2039.0895523145
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1809.44122799154
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1870.97325017041
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1357.31978233502
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2122.11387417372
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1268.06531729264
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1570.31932156747
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1686.27610767202
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1971.36147343182
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1818.99215824847
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1262.91037544435
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1705.41314441222
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2122.00658935876
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1909.29399294979
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1563.87628639639
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1449.62122377334
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1825.86133558041
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1350.70844398553
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1746.53114095105
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1902.37705270949
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1517.70380989353
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1644.80041052468
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1873.92782482153
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",1696.36426971698
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2037.898582626
"NN_CMSY_Euler-lotka methods","NN_CMSY","Euler-lotka methods",2013.55090393264
