"cenario_id","hipotese","m_hipotese","MSY"
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1672.19869258333
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1920.44016357046
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1951.66368019645
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1765.92929323635
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1966.4214485407
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1964.57988470425
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1819.64358564634
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1730.78239541876
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1615.43999272275
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1783.07468554062
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1627.17794106476
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1717.34991778786
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1746.83833213838
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1956.74451309364
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1803.19937207013
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1665.2773085877
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1841.22094267241
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1577.91261619102
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1936.66163573968
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1831.71643837515
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1810.5803790086
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1984.53655963266
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1148.5639727709
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",1832.87709419569
"NN_CMSY_M_Jardim(1996-1999)","NN_CMSY","M_Jardim(1996-1999)",2059.14824933633
