"r_euler","r_myers","r_eq6","r_f5","iter","specie"
0.10415686425097,0.618669186327038,0.151935137207478,0.281579057390783,1,"Decapterus macarellus"
NA,1.26933022747889,0.252775381854317,0.385233282509239,2,"Decapterus macarellus"
NA,1.22361855707145,0.246182982873083,0.387282610111473,3,"Decapterus macarellus"
NA,0.81864629054083,0.265542359972762,0.413403729397454,4,"Decapterus macarellus"
NA,0.280508913778943,0.0744367306519836,0.155715524615444,5,"Decapterus macarellus"
NA,0.384004207134531,0.101136797950822,0.191140246898199,6,"Decapterus macarellus"
0.87425473516939,0.502891702221388,0.178115016482376,0.30261543916403,7,"Decapterus macarellus"
0.00842559104734195,0.435629033248605,0.0965226383113107,0.187541489094876,8,"Decapterus macarellus"
0.383817763932858,0.763559751021576,0.158727672777812,0.280039865771179,9,"Decapterus macarellus"
0.740434952881264,0.551745288012397,0.131022397895634,0.26301724743923,10,"Decapterus macarellus"
0.699881608576378,0.710056226618543,0.186486481245028,0.329551338174314,11,"Decapterus macarellus"
1.49019467664061,0.879273232861531,0.198636534302718,0.319628054948282,12,"Decapterus macarellus"
NA,0.413143327118483,0.102816220244534,0.201618364996753,13,"Decapterus macarellus"
NA,0.459424722372491,0.130351765748338,0.267803336227063,14,"Decapterus macarellus"
3.32037419746849,0.459975691288692,0.219540860881964,0.344982451372304,15,"Decapterus macarellus"
NA,0.380363089858189,0.0981975628831665,0.202667244582632,16,"Decapterus macarellus"
0.781018673494624,0.728714396653269,0.175487818159641,0.29638565879167,17,"Decapterus macarellus"
0.207379066326465,0.53741100381455,0.128139075993445,0.231044004702054,18,"Decapterus macarellus"
2.27546705719744,0.61806628282565,0.215001121045052,0.341565152212512,19,"Decapterus macarellus"
0.913610159309106,0.583656215071387,0.187042135255319,0.313568205399562,20,"Decapterus macarellus"
0.192423661354636,0.591414060874681,0.136171151915494,0.245310206027559,21,"Decapterus macarellus"
NA,0.421729619468221,0.0827396812812568,0.186359062153425,22,"Decapterus macarellus"
0.796001159671962,0.629392065084532,0.173798350994408,0.290650619636795,23,"Decapterus macarellus"
NA,0.57926796986354,0.148262250193826,0.296654808528041,24,"Decapterus macarellus"
3.95837336128813,1.10497591052008,0.231339795860934,0.364333133279786,25,"Decapterus macarellus"
2.2823270838305,0.763896988857185,0.224626978425932,0.364156766990713,26,"Decapterus macarellus"
