1,21621.6205486757,19950.6205486757,18949.6205486757,18201.9092382017,16782.165177056,16239.1799369882,15272.9726017397,14848.0182459381,14322.4618334927,12676.1228440612,11046.3462155777,9781.77621331543,9526.70673761012,9899.4458096072,9511.65799640989,9542.27169170171,9637.64784777354,9318.20370477786,8550.83989177957,7549.41949140282,7035.82758012559,7180.24117613382,7387.95603197575,7195.99816358966,6520.52597235889,6268.2855608133,8084.40496831189,9420.45413742789
0,16006.0720574381,14335.0720574381,13334.0720574381,12118.0187889339,10163.242572159,9044.73548277439,7512.92288280121,6498.80110431061,5394.92243006695,3144.30057899213,905.529211190286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,21765.7146894271,20094.7146894271,19093.7146894271,19200.7187890135,18746.1336534621,19217.0077407465,19148.1145822594,19520.5315377032,19645.7635698913,18550.1221221182,17356.9243487917,16448.795425812,16574.8254218399,17369.0113500745,17431.3136729315,17879.7791742784,18310.2447014077,18291.7979294368,17761.0150571732,16934.99966982,16579.9360417705,16923.0916857366,17405.5608331994,17520.3774543687,17110.4412306159,17062.6874155997,19061.3709732372,20625.0251077692
0,5644.87886276742,3973.87886276742,2972.87886276742,2147.70480621675,1167.07179441308,968.857136956078,84.4034126555871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23014.4935951059,21343.4935951059,20342.4935951059,19223.7211173885,17849.646166679,17559.2480829388,17086.9005768229,17331.8887703655,17476.9743277216,16490.0039165725,15420.6936445383,14627.9468978804,14876.8856055342,15785.8545112319,15944.4752363727,16475.3527725372,16967.2650649888,16993.737019026,16482.3569806168,15648.6613061307,15277.6393489372,15620.9784751272,16126.1499956858,16271.352471568,15886.7299151662,15849.9306482236,17851.0677165379,19423.9079583475
0,6673.44613542266,5002.44613542266,4001.44613542266,3506.66130801172,2492.05556470841,2230.21864485576,1398.48833440452,729.863827925945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9379.15812007251,7708.15812007251,6707.15812007251,6003.39920788811,4780.76611727862,4481.01719562479,3760.5509686633,3514.87041114304,3116.61479889049,1490.983265291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6788.33414632255,5117.33414632255,4116.33414632255,3411.95500965348,2317.45636883746,2158.26879959674,1548.70915742905,1273.81235044265,811.418646619729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20274.2039280321,18603.2039280321,17602.2039280321,17115.7367872129,15984.7168379766,15731.3126949417,15016.9603470063,14790.0268065111,14421.9963944758,12885.1740117427,11335.8714807898,10122.6493115713,9842.86240454467,10093.3932421279,9492.21673960424,9288.86640993979,9178.33359247209,8616.30995311408,7602.57272926645,6357.33587471394,5557.93961432304,5315.48488039705,4986.69328276895,4149.99226166409,2800.02992081406,1830.37752521576,2781.20879713027,2952.7621999661
1,20440.430420988,18769.430420988,17768.430420988,16998.2766097475,15624.7941984301,15160.0481993923,14294.6606189957,13988.6984614497,13577.6155135564,12038.9022499088,10503.8578675516,9321.18465500336,9123.76111477696,9511.93740401904,9092.5771858712,9079.81163995605,9146.1690776581,8783.04685023759,7974.18142713573,6935.93963195006,6371.95827940673,6426.23423747399,6479.43390265313,6092.42306137244,5228.38651877088,4796.16964707593,6404.24609827333,7448.94790235788
0,11135.4735966027,9464.4735966027,8463.4735966027,7271.2621867809,5731.91107108696,5184.51750338943,4327.6839360218,3962.32978125495,3435.58427729011,1637.70576385008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,23416.2905368613,21745.2905368613,20744.2905368613,19938.8153390568,18454.8854780735,17843.0403401298,16811.2242012214,16319.3589313498,15730.742231033,14020.5985374894,12330.1123205851,11006.0166711116,10679.5923462933,10966.2035328664,10479.7713895197,10411.9372134146,10418.5991318247,10009.2701305663,9157.05183165583,8076.53066906337,7481.53014666813,7531.48418240618,7623.75012582975,7304.25372637721,6504.83713543806,6134.43545094751,7826.24102766659,9013.30924958895
1,20100.083047664,18429.083047664,17428.083047664,16441.6148613122,14897.0618733518,14289.2288119301,13341.4188858367,13016.4877730281,12619.3011012766,11124.8547929546,9642.85557410122,8519.71523747804,8407.14345115556,8904.04667229523,8609.99425817179,8722.4425896911,8901.58833691926,8654.68974462704,7956.71005934589,7021.98138192457,6567.10152134362,6753.17782356092,6973.00652347156,6774.54588718493,6098.68596786469,5853.38489496049,7669.74756812203,8978.25960829228
0,51818.1581757822,50147.1581757822,49146.1581757822,51974.2584099775,55071.0831241361,59566.1096609547,61594.3774149276,61526.0092374024,59775.0092374024,56791.0092374024,53776.0092374024,51069.0092374024,49205.0092374024,50413.4376061003,52811.5058782562,56865.9327790856,60210.2210810496,61374.6577492875,58747.6577492875,55892.6577492875,53505.6577492875,51734.6577492875,50791.3320788623,51431.6200103597,52940.7876034657,55551.5390664554,59772.2351198303,62374.0165311085
1,22081.4677758477,20410.4677758477,19409.4677758477,18418.0764607184,16761.2615348433,15983.4924487194,14814.7917535404,14212.7388282934,13533.8277947037,11747.3139950855,9990.08553127436,8605.04870726878,8210.67576213047,8411.47654781538,7816.1345581456,7633.29717761413,7534.45179554756,7008.30652427407,6038.71795679093,4842.23531719141,4116.21519225263,3994.0028010811,3842.48708677614,3221.10175792145,2108.09218915527,1408.68508825538,2691.26318628001,3183.2556593344
