"stock_id","stock_base","category","region","source","name","type_data","scenario","r_method","bk_method","yr","nyr","start.yr","int.yr","end.yr","ucl.B.Bmsy","lcl.B.Bmsy","B.Bmsy","ucl.F.Fmsy","lcl.F.Fmsy","F.Fmsy"
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2004,27,1989,2001,2015,1.15875576394799,0.607109375521495,0.873497797600241,2.09550562494457,0.793175218076911,1.31746253500971
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2005,27,1989,2001,2015,1.13680325391287,0.594301286301254,0.847087710443772,2.44583535956617,0.894573370052461,1.53424583621335
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2006,27,1989,2001,2015,1.10139763535089,0.564556401835464,0.809410074472817,2.83083046587914,1.04556522197334,1.80442188547536
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2007,27,1989,2001,2015,1.05478819557206,0.531471064487137,0.758562319251135,3.15340176799761,1.14367467873144,1.9823058069895
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2008,27,1989,2001,2015,0.997987080575799,0.492126157676171,0.702253507743501,3.14616485311155,1.08663729459319,1.93721652313574
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2009,27,1989,2001,2015,0.955397744425778,0.459532776448631,0.656269731416631,3.06093895879007,0.978753630631928,1.81638607255573
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2010,27,1989,2001,2015,0.924455009637837,0.432455948947784,0.623389869919869,3.28118001544593,1.00516663565336,1.86013959605674
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2011,27,1989,2001,2015,0.888880590490868,0.399342732299569,0.590024089350705,4.05092265523754,1.1110525992378,2.13771092068547
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2012,27,1989,2001,2015,0.850547147248562,0.351229800012505,0.546672872889698,5.26503096001385,1.19072857819296,2.36459563029037
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2013,27,1989,2001,2015,0.819758459105699,0.295945842767837,0.504560476486311,5.78851847883218,0.953209819907711,2.08250716480674
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2014,27,1989,2001,2015,0.801605982928273,0.248624684996765,0.478380193191727,5.14377332160175,0.593303087830784,1.36743124375461
"Decapterus macarellus_NN_CMSY_Euler-lotka methods","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_Euler-lotka methods","Euler-lotka methods","NN_CMSY",2015,27,1989,2001,2015,0.790754131718143,0.220914654464029,0.47698377173518,4.23671435653655,0.381732055723425,0.876553765176912
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",1989,27,1989,2001,2015,1.89879880444514,1.4646900129551,1.70337924019762,0.741068729172138,0.260205899769165,0.442460872816815
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",1990,27,1989,2001,2015,1.97017801526423,1.29759505529237,1.62333319804528,0.755441279956698,0.25463344267215,0.445086336369991
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",1991,27,1989,2001,2015,1.95434840891841,1.18520773085023,1.55877465066972,0.883189586590238,0.289238243222732,0.507153012737495
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",1992,27,1989,2001,2015,1.92653293502358,1.09444889571169,1.49116746858559,1.0516904342525,0.337969855064607,0.602295801464543
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",1993,27,1989,2001,2015,1.8835880403418,1.01375466392529,1.42352416140948,1.16373940891203,0.363591077714419,0.65511616375751
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",1994,27,1989,2001,2015,1.83111148956349,0.94098280118443,1.35481376280446,1.25203999358826,0.377012750808558,0.694416253580829
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",1995,27,1989,2001,2015,1.76195469278164,0.898346072032427,1.29367214644573,1.3655090580818,0.413470724004134,0.759288182543604
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",1996,27,1989,2001,2015,1.68206373515554,0.841605717818052,1.23020236427833,1.67301642753928,0.501860135475526,0.938289652248121
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",1997,27,1989,2001,2015,1.6093609602614,0.788513510304256,1.16586115536892,2.14763330308718,0.63643126624652,1.20014247940114
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",1998,27,1989,2001,2015,1.51639007264223,0.725426779671953,1.09387722450905,2.45740752016963,0.733840391937718,1.35486714268135
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",1999,27,1989,2001,2015,1.39570293902422,0.678464002296896,1.02564846769097,2.42709351799863,0.718181414151434,1.32545881871079
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2000,27,1989,2001,2015,1.29976359245779,0.630223470980986,0.960077859025582,2.14602886959955,0.649362562138775,1.16850264381792
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2001,27,1989,2001,2015,1.21359883749432,0.592070459667089,0.907485058000347,1.99851924129138,0.622229263184909,1.10254809263832
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2002,27,1989,2001,2015,1.20458831239774,0.572030856447265,0.881058958253287,2.10958443469661,0.621990678249816,1.14908654625569
"Decapterus macarellus_NN_CMSY_lower resilience","Decapterus macarellus","Decapterus macarellus","Cabo Verde","IMar - coleção de dados","Cavala","observado","NN_CMSY_lower resilience","lower resilience","NN_CMSY",2003,27,1989,2001,2015,1.20171262386508,0.545799022091309,0.850261815167701,2.24710537553445,0.648747122537206,1.21406621487846
