"cenario_id","hipotese","m_hipotese","m_fonte","bk_lo","bk_hi","variavel","media","mediana","p2.5","p97.5","n_total","n_aceitos","pct_aceitacao"
"zBRT_x_M_mais_confiavel","zBRT","M_mais_confiavel","Jardim (1996/1999)",0.05,0.69,"Fmsy",0.347569815524679,0.333041901568383,0.178616582309464,0.59985694440873,10000,6767,67.7
"zBRT_x_M_mais_confiavel","zBRT","M_mais_confiavel","Jardim (1996/1999)",0.05,0.69,"FmsyM",0.806082796919416,0.777474240634865,0.430803195232848,1.35870642050122,10000,6767,67.7
"zBRT_x_M_mais_confiavel","zBRT","M_mais_confiavel","Jardim (1996/1999)",0.05,0.69,"K",26255.9479418198,23466.2041375328,13562.4432386458,55219.4026904939,10000,6767,67.7
"zBRT_x_M_mais_confiavel","zBRT","M_mais_confiavel","Jardim (1996/1999)",0.05,0.69,"M",0.431131564061368,0.428981448560962,0.356042095852762,0.519882107162606,10000,6767,67.7
"zBRT_x_M_mais_confiavel","zBRT","M_mais_confiavel","Jardim (1996/1999)",0.05,0.69,"MSY",2089.29162248723,2029.77803774772,1535.38229411349,2951.04707217474,10000,6767,67.7
"zBRT_x_M_mais_confiavel","zBRT","M_mais_confiavel","Jardim (1996/1999)",0.05,0.69,"OFLT1",3033.96695592097,2665.72454455673,691.823138798676,7556.08100440894,10000,6767,67.7
"zBRT_x_M_mais_confiavel","zBRT","M_mais_confiavel","Jardim (1996/1999)",0.05,0.69,"Umsy",0.238119548557684,0.233144800523206,0.134900401028951,0.371005483377376,10000,6767,67.7
"zBRT_x_M_segunda_confiavel","zBRT","M_segunda_confiavel","Santos (2018)",0.05,0.69,"Bmsy",7867.93849814802,7510.14364636502,4887.83418392393,13145.2157859264,10000,6153,61.5
"zBRT_x_M_segunda_confiavel","zBRT","M_segunda_confiavel","Santos (2018)",0.05,0.69,"BmsyK",0.368355537613922,0.370381044278554,0.200886481174084,0.534147745117601,10000,6153,61.5
"zBRT_x_M_segunda_confiavel","zBRT","M_segunda_confiavel","Santos (2018)",0.05,0.69,"Brefyr",10480.066800181,8850.74949712582,2686.9801675704,28409.4027213102,10000,6153,61.5
"zBRT_x_M_segunda_confiavel","zBRT","M_segunda_confiavel","Santos (2018)",0.05,0.69,"BtK",0.448607572493041,0.458525213003159,0.142165308088064,0.678216846495867,10000,6153,61.5
"zBRT_x_M_segunda_confiavel","zBRT","M_segunda_confiavel","Santos (2018)",0.05,0.69,"Fmsy",0.474631626822018,0.452992079746315,0.247062097898091,0.830846902781432,10000,6153,61.5
"zBRT_x_M_segunda_confiavel","zBRT","M_segunda_confiavel","Santos (2018)",0.05,0.69,"FmsyM",0.792125842615604,0.763483134185051,0.42485714368634,1.34678862609596,10000,6153,61.5
"zBRT_x_M_segunda_confiavel","zBRT","M_segunda_confiavel","Santos (2018)",0.05,0.69,"K",22755.4904764229,20309.7630404757,12774.8964594052,47905.3961933458,10000,6153,61.5
"zBRT_x_M_segunda_confiavel","zBRT","M_segunda_confiavel","Santos (2018)",0.05,0.69,"M",0.599173274237616,0.596789146546287,0.490526339195726,0.725388565673276,10000,6153,61.5
"zBRT_x_M_segunda_confiavel","zBRT","M_segunda_confiavel","Santos (2018)",0.05,0.69,"MSY",2136.97909398198,2070.33435146176,1704.27222953555,2957.48110105022,10000,6153,61.5
"zBRT_x_M_segunda_confiavel","zBRT","M_segunda_confiavel","Santos (2018)",0.05,0.69,"OFLT1",3250.18252600513,2914.89477736704,847.738081161383,7820.46321445523,10000,6153,61.5
"zBRT_x_M_segunda_confiavel","zBRT","M_segunda_confiavel","Santos (2018)",0.05,0.69,"Umsy",0.285981590534698,0.280498126647614,0.169000948033814,0.43688234452116,10000,6153,61.5
"Target_switch_x_M_mais_confiavel","Target_switch","M_mais_confiavel","Jardim (1996/1999)",0.2,0.7,"Bmsy",9442.75378698954,9014.48058063869,5711.17018280548,15847.4386271003,10000,8331,83.3
"Target_switch_x_M_mais_confiavel","Target_switch","M_mais_confiavel","Jardim (1996/1999)",0.2,0.7,"BmsyK",0.378977289402525,0.378426400952296,0.210619778319874,0.551799932639835,10000,8331,83.3
"Target_switch_x_M_mais_confiavel","Target_switch","M_mais_confiavel","Jardim (1996/1999)",0.2,0.7,"Brefyr",12939.6252528678,10760.6882965964,4513.70936713234,34012.5915638668,10000,8331,83.3
"Target_switch_x_M_mais_confiavel","Target_switch","M_mais_confiavel","Jardim (1996/1999)",0.2,0.7,"BtK",0.473394737445317,0.476628082385287,0.225268962286646,0.688466845767107,10000,8331,83.3
"Target_switch_x_M_mais_confiavel","Target_switch","M_mais_confiavel","Jardim (1996/1999)",0.2,0.7,"Fmsy",0.349690731585365,0.33343679900771,0.182256745028068,0.605166976593762,10000,8331,83.3
"Target_switch_x_M_mais_confiavel","Target_switch","M_mais_confiavel","Jardim (1996/1999)",0.2,0.7,"FmsyM",0.811156657201652,0.778470989241539,0.437761215878776,1.37165938790577,10000,8331,83.3
"Target_switch_x_M_mais_confiavel","Target_switch","M_mais_confiavel","Jardim (1996/1999)",0.2,0.7,"K",26592.1445088962,23779.9746323309,13685.3647328551,56467.5006130069,10000,8331,83.3
"Target_switch_x_M_mais_confiavel","Target_switch","M_mais_confiavel","Jardim (1996/1999)",0.2,0.7,"M",0.430909848900222,0.429053896524729,0.353943143139929,0.51945994630639,10000,8331,83.3
"Target_switch_x_M_mais_confiavel","Target_switch","M_mais_confiavel","Jardim (1996/1999)",0.2,0.7,"MSY",2134.24240744747,2058.05159198786,1668.2500408624,2972.78480851193,10000,8331,83.3
"Target_switch_x_M_mais_confiavel","Target_switch","M_mais_confiavel","Jardim (1996/1999)",0.2,0.7,"OFLT1",3266.59250657003,2879.92009350055,1212.35836586566,7499.01817766452,10000,8331,83.3
"Target_switch_x_M_mais_confiavel","Target_switch","M_mais_confiavel","Jardim (1996/1999)",0.2,0.7,"Umsy",0.239272551870745,0.233052596863454,0.137337872671657,0.374053049515179,10000,8331,83.3
"Target_switch_x_M_segunda_confiavel","Target_switch","M_segunda_confiavel","Santos (2018)",0.2,0.7,"Bmsy",7965.85090310591,7580.83962274714,4930.96585313003,13261.7687416188,10000,7558,75.6
"Target_switch_x_M_segunda_confiavel","Target_switch","M_segunda_confiavel","Santos (2018)",0.2,0.7,"BmsyK",0.369753557392331,0.371794859903487,0.201916423440758,0.528658828333551,10000,7558,75.6
"Target_switch_x_M_segunda_confiavel","Target_switch","M_segunda_confiavel","Santos (2018)",0.2,0.7,"Brefyr",11239.3263629616,9421.41350149953,4045.09288133164,29000.6975488373,10000,7558,75.6
"Target_switch_x_M_segunda_confiavel","Target_switch","M_segunda_confiavel","Santos (2018)",0.2,0.7,"BtK",0.476774955672446,0.482410625135526,0.231382422408205,0.688001240650192,10000,7558,75.6
"Target_switch_x_M_segunda_confiavel","Target_switch","M_segunda_confiavel","Santos (2018)",0.2,0.7,"Fmsy",0.479650062953596,0.458307396265087,0.250648220152493,0.826909429892552,10000,7558,75.6
