"iter","specie","Linf","K","M","tmax","L50","r"
1,"Decapterus macarellus",36.2908254615865,0.586725514997973,0.460776742168819,5.94527648894239,25.4621322325843,0
2,"Decapterus macarellus",38.0876340407265,0.390871687525095,0.574672482343201,6.5016977328472,26.204803501126,0
3,"Decapterus macarellus",49.4822935816867,0.465660643508843,0.292454152057749,5.55295750863666,22.6007055236399,0
4,"Decapterus macarellus",39.8005964292102,0.366551049321665,0.341933020208466,4.89118733705071,23.8388825947617,0
5,"Decapterus macarellus",40.1443490793312,0.416176813572466,0.419491272271152,7.38392599053914,28.102320949674,0
6,"Decapterus macarellus",50.6272953231774,0.481196129036601,0.34220131484673,6.15780991265975,23.4012313178678,0
7,"Decapterus macarellus",42.1401519791029,0.500722004510825,0.611045431993279,6.40011303606395,27.8664809238098,0
8,"Decapterus macarellus",32.7361400272182,0.386764600245468,1.08824163241464,6.95974380135442,28.762521913135,0
9,"Decapterus macarellus",35.6259814532376,0.310712870134468,0.537954118484914,6.50554508978488,23.5557517464125,0
10,"Decapterus macarellus",36.9055862955968,0.382726746297334,0.824610178514803,6.56109237215894,20.3375631973831,0
11,"Decapterus macarellus",47.1180868834587,0.384122700248158,0.810853025178079,5.43685080940736,24.2547402094544,0
12,"Decapterus macarellus",41.5214059970483,0.399505049238319,0.9023330867175,6.69919246934422,22.4492689212707,0
13,"Decapterus macarellus",41.7709640899917,0.477923018803002,0.414146131814997,5.02994381684889,20.5189321548014,0
14,"Decapterus macarellus",40.0352234957309,0.341772390690048,0.403643773625237,6.47652782364101,27.2668480827819,0
15,"Decapterus macarellus",36.315441098027,0.309130714176906,1.13180161205069,7.85983848038778,26.2582826035414,0
16,"Decapterus macarellus",51.1622880961367,0.454364489451095,1.07924325497204,5.49276673548636,26.2637737823484,0
17,"Decapterus macarellus",42.3684817587272,0.399640465813567,0.600735747603269,4.772895704037,22.0525225590185,0
18,"Decapterus macarellus",29.5427281247574,0.425007342620577,0.652336783407364,5.9311137113653,28.0655917185195,0
19,"Decapterus macarellus",43.648933699652,0.32462536711164,0.514988266010176,5.05872837436544,21.6658937499861,0
